Model,Accuracy,Precision (weighted),Recall (weighted),F1-score (weighted),Epochs Run,Train Time (s),Final Train Acc,Final Val Acc,Train-Val Gap,Fit Diagnosis,Params
GRU,0.9045,0.90758414152811,0.9045,0.9053728080434074,7,21.28,0.9786,0.9085,0.0701,Good fit,667238
Stacked GRU,0.9015,0.9066273995806523,0.9015,0.9032109101807918,7,41.04,0.9786,0.8985,0.0801,Overfitting,692198
Stacked LSTM,0.898,0.9019328509632869,0.898,0.8995475732940093,7,41.96,0.9754,0.899,0.0764,Good fit,708326
Bidirectional LSTM,0.898,0.8990771363481176,0.898,0.8981822580103004,6,31.37,0.9801,0.889,0.0911,Overfitting,710374
Bidirectional GRU,0.896,0.9025286365188129,0.896,0.8976396397763483,6,29.9,0.9828,0.9025,0.0803,Overfitting,694246
LSTM,0.89,0.8968807780955261,0.89,0.891214073976782,7,20.89,0.977,0.9,0.077,Good fit,675302
Simple RNN,0.86,0.8623586712708451,0.86,0.8606245129597276,7,13.61,0.9769,0.853,0.1239,Overfitting,650534
